jop_title,company_name,company_location,jop_exp,jop_num_exp,jop_skills
Summer Data Science Internship,QARA,"New Cairo, Cairo, Egypt",Experienced,0 - 1 Yrs of Exp,"[' IT/Software Development ', ' Data Science ', ' Analysis ', ' Computer Science ', ' Information Technology (IT)']"
Data Science Intern,Merck Sharp & Dohme Corp,"Dubai, United Arab Emirates",Not specified,None,"[' Administration ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Administration ', ' Data Entry ', ' Microsoft Office ', ' Data Science ', ' Information Technology (IT) ', ' Computer Science ', ' Science']"
Product Owner (Data Science & Machine Learning within Fraud),Callsign,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Project/Program Management ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Agile ', ' Software Development ', ' Business Analysis ', ' Engineering ', ' Computer Engineering']"
Senior Data Scientist - Hybrid,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt",Experienced,3 - 5 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Data Analysis ', ' Data Science ', ' Analysis ', ' Computer Science ', ' Machine Learning ', ' Python ', ' SQL']"
Senior Data Analyst,Cilantro,"Maadi, Cairo, Egypt",Experienced,4 - 6 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Analysis ', ' analytical ', ' Computer Science ', ' Data Analysis ', ' Data Analyst ', ' Data ', ' Programming']"
Data Analyst,Care Services EG,"Abbassia, Cairo, Egypt",Experienced,3 - 5 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Analysis ', ' analytical ', ' BI ', ' Computer Science ', ' SQL ', ' Statistics ', ' Tableau ', ' Data Analysis']"
Senior Data Analytics,Masria Digital Payment (MDP),"New Cairo, Cairo, Egypt",Experienced,3 - 6 Yrs of Exp,"[' IT/Software Development ', ' Computer Science ', ' Data ', ' BI']"
Data Scientist,Confidential,"Maadi, Cairo, Egypt",Experienced,2 - 3 Yrs of Exp,"[' Marketing/PR/Advertising ', ' Computer Science ', ' Data ', ' Data Science ', ' data scientist ', ' Information Technology (IT) ', ' scientist']"
Data Analyst - United Arab Emirates University,Qureos,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Data Analysis ', ' Analysis ', ' Computer Science ', ' Information Technology (IT) ', ' SQL ', ' Microsoft Office ', ' Microsoft Excel']"
Senior Data Analyst - KBR,Qureos,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Data Analysis ', ' Business Analysis ', ' Microsoft Office ', ' SQL']"
Senior Data Analyst,Q,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Data Analysis ', ' Business Analysis ', ' Microsoft Office ', ' SQL']"
Master Data Supervisor,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",Experienced,6 - 8 Yrs of Exp,"[' Sales/Retail ', ' Computer Science ', ' Data Management ', ' Master Data ', ' Master Data Management ', ' Computer Engineering ', ' Data ', ' Management ', ' Information Technology (IT)']"
Senior Data Scientist,Malaa,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' SQL ', ' Python ', ' Engineering ', ' Data Analysis ', ' Software Development']"
Data Analyst,2CooM,"6th of October, Giza, Egypt",Experienced,1 - 5 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Analyst ', ' Computer Science ', ' Data Analyst ', ' Python ', ' SQL']"
Data Analyst,Ajar,"Kuwait City, Kuwait",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Data Analysis ', ' Analysis ', ' Computer Science ', ' Information Technology (IT) ', ' SQL ', ' Microsoft Office ', ' Microsoft Excel']"
Oracle Data Platform Supervisor,e,"6th of October, Giza, Egypt",Experienced,5 - 10 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' Oracle ', ' Mysql Database ', ' Databases ', ' Oracle Database ', ' Oracle Database 11g ', ' Oracle Database 10g']"
Project Miladi | Video Data Collection,Appen Limited,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Marketing/PR/Advertising ', ' Engineering - Telecom/Technology ', ' information technology (it) ', ' computer science ', ' engineering ', ' marketing ', ' quality ', ' android ', ' data collection']"
Data Analytics Intern,Merck Sharp & Dohme Corp,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' SQL ', ' Analysis ', ' Data Analytics ', ' BI ', ' Data Analysis']"
Data and Information Management Team Lead,Charterhouse Middle East,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Telecom/Technology ', ' information technology (it) ', ' computer science ', ' sales ', ' sales skills ', ' engineering ', ' english ', ' management']"
Senior Data & Analytics Specialist,Etihad Airways,"Abu Dhabi, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' SQL ', ' Microsoft Office ', ' Software Development ', ' Software Engineering']"
Senior Data Engineer - Remote,GetTechForce.com,"Cairo, Egypt",Experienced,3+ Yrs of Exp,"[' IT/Software Development ', ' Python ', ' Java ', ' SQL ', ' Big Data ', ' Information Analysis ', ' Computer Science']"
Data Governance Manager,Foreground Consultancy,"Doha, Qatar",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Microsoft Office ', ' Data Management ', ' Engineering ', ' Management ', ' SQL']"
Data Warehousing - Oil Gas,BD SELECT,"Doha, Qatar",Not specified,None,"[' IT/Software Development ', ' Logistics/Supply Chain ', ' Engineering - Telecom/Technology ', ' Data Warehousing ', ' Computer Science ', ' Information Technology (IT) ', ' SQL ', ' Logistics ', ' Warehousing ', ' ETL']"
Data Analyst Specialist,Almoosa Specialist Hospital,"Riyadh, Saudi Arabia",Not specified,None,"[' Administration ', ' IT/Software Development ', ' Analyst/Research ', ' Microsoft Office ', ' Data Entry ', ' Administration ', ' Data Analysis ', ' Analysis ', ' Computer Science ', ' Information Technology (IT)']"
Data Solution Architect,Sceel.io,"Maadi, Cairo, Egypt",Experienced,5 - 8 Yrs of Exp,"[' Customer Service/Support ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Architecture ', ' AWS ', ' Azure ', ' Cloud ', ' Computer Engineering ', ' Computer Science ', ' Data Modeling']"
Data Management Consultant,Sceel.io,"Maadi, Cairo, Egypt",Experienced,5 - 7 Yrs of Exp,"[' IT/Software Development ', ' Operations/Management ', ' Engineering - Telecom/Technology ', ' Communication ', ' Computer Science ', ' Data Management ', ' Data Modeling ', ' Data ', ' ETL ', ' Information Technology (IT)']"
Quality Assurance Executive (data analysis- internal auditing),BayanTech,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Quality ', ' Engineering - Telecom/Technology ', ' Quality Assurance ', ' Quality Control ', ' Quality ', ' QA ', ' Computer Science ', ' Engineering ', ' Information Technology (IT)']"
"Technical Sales Leader - Data&AI, Automation - UAE",Gulf Business Machines PND,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Mechanical/Electrical ', ' Sales ', ' Sales Skills ', ' Sales Target ', ' Real Estate ', ' Engineering ', ' Customer Service ', ' Customer Support']"
Principal - Data & Services Business Development,OA,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Education/Teaching ', ' Education ', ' Teaching ', ' Computer Science ', ' Information Technology (IT) ', ' Engineering ', ' Management ', ' Administration']"
